ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
MSN,2017,4,15144937000000,7417111000000,640069000000,2247100000000,4333097000000,507560000000,48383585000000,96400000000,29829534000000,0,11338355000000,0,3923734000000,63528522000000,43303327000000,15532987000000,27770340000000,20225195000000,20225195000000,-9426958000000,12350048000000,5388482000000,63528522000000,277698000000,0,4347552000000,0,11573740000000,11573740000000,25630003000000,240945000000,9166273000000,632021000000,2990882000000,21646000000,1357561000000,1453961000000,VCI,yearly
MSN,2017,3,15102219000000,4765527000000,1670813000000,3792581000000,4392711000000,480587000000,50995654000000,350000000000,28873382000000,0,13461529000000,0,3912915000000,66097873000000,41031792000000,12451541000000,28580251000000,25066081000000,25066081000000,-9426958000000,10725601000000,5977272000000,66097873000000,401359000000,1299700000000,4411454000000,0,11573740000000,11573740000000,26399183000000,534227000000,6748932000000,660142000000,2961548000000,21646000000,1382045000000,1732045000000,VCI,yearly
MSN,2017,2,14938171000000,6034414000000,631855000000,2591568000000,5245554000000,434780000000,50539998000000,350300000000,29261084000000,0,12910875000000,0,3894721000000,65478169000000,41506876000000,13493340000000,28013536000000,23971293000000,23971293000000,-9426958000000,10000056000000,5707891000000,65478169000000,458270000000,299400000000,5265502000000,0,11474964000000,11474964000000,25816180000000,206081000000,8220532000000,688262000000,2894743000000,21646000000,1403394000000,1753694000000,VCI,yearly
MSN,2017,1,17279459000000,7047714000000,1655836000000,2312501000000,5884099000000,379309000000,50324080000000,519700000000,29292871000000,0,12565339000000,0,3879360000000,67603539000000,47028003000000,12322024000000,34705979000000,20575536000000,20575536000000,-9426958000000,7252588000000,5062269000000,67603539000000,451737000000,0,5902215000000,0,11474964000000,11474964000000,32489820000000,281369000000,7016210000000,716383000000,2842861000000,21646000000,1455302000000,1975164000000,VCI,yearly
MSN,2016,4,22876206000000,13148938000000,1771012000000,2277055000000,5389531000000,289670000000,50162832000000,369700000000,29821492000000,0,12240702000000,0,3927344000000,73039038000000,52726413000000,17898443000000,34827970000000,20312625000000,20312625000000,-9426958000000,7015545000000,5036469000000,73039038000000,283315000000,0,5416696000000,0,7680757000000,7680757000000,32472398000000,86812000000,8618340000000,744503000000,2869569000000,21646000000,1447367000000,1817067000000,VCI,yearly
MSN,2016,3,23024693000000,11723007000000,3351342000000,2217130000000,5395832000000,337382000000,50154501000000,789700000000,29320770000000,0,11968166000000,0,3728806000000,73179194000000,49828370000000,15910020000000,33918350000000,23350824000000,23350824000000,-9426958000000,8460188000000,7530291000000,73179194000000,463023000000,0,5410854000000,0,7560757000000,7560757000000,31537630000000,125221000000,9632991000000,0,2734028000000,21646000000,1435627000000,2225327000000,VCI,yearly
MSN,2016,2,18542478000000,8540118000000,3417137000000,2266512000000,3972630000000,346081000000,49907024000000,675700000000,26665864000000,0,11660141000000,0,3682278000000,68449502000000,45321777000000,13407243000000,31914534000000,23127725000000,23127725000000,-9426958000000,7933692000000,7429128000000,68449502000000,333579000000,0,3993108000000,0,7560757000000,7560757000000,29525003000000,122071000000,7407257000000,0,2654395000000,21646000000,1424863000000,2100563000000,VCI,yearly
MSN,2016,1,18304148000000,4686894000000,6991548000000,2323051000000,3669695000000,632960000000,49199580000000,909700000000,26989015000000,0,10885526000000,0,3291412000000,67503728000000,43969571000000,12211221000000,31758350000000,23534157000000,23534157000000,-9251415000000,7240563000000,8446724000000,67503728000000,466942000000,0,3675204000000,0,7467179000000,7467179000000,29368298000000,65458000000,6752499000000,801236000000,2254991000000,1624517000000,1451622000000,2361322000000,VCI,yearly
MSN,2015,4,16709473000000,8324476000000,293990000000,3126527000000,4417969000000,546511000000,55140227000000,8563114000000,26998134000000,0,9144883000000,0,3085036000000,71849700000000,44740654000000,15005196000000,29735458000000,27109046000000,27109046000000,-9045049000000,8561380000000,10494430000000,71849700000000,872866000000,762400000000,4434592000000,0,7467179000000,7467179000000,27253112000000,139989000000,8366625000000,828677000000,2042622000000,21646000000,1869025000000,10432139000000,VCI,yearly
MSN,2015,3,17607864000000,7332367000000,1591406000000,3691963000000,4480974000000,511154000000,51482557000000,7029614000000,24910962000000,0,9024626000000,0,3115251000000,69090421000000,43679048000000,13139227000000,30539821000000,25411373000000,25411373000000,-9045049000000,7643148000000,9714989000000,69090421000000,1278892000000,0,4502436000000,0,7467179000000,7467179000000,28009786000000,215675000000,7417989000000,1064965000000,1843455000000,21646000000,1652223000000,8681837000000,VCI,yearly
