ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
GAS,2016,4,33352699433088,13612560308316,5823450000000,12021627184436,1296721378189,598340562147,23544571983897,17160567005500,70776247860,144205831583,0,1297348030543,56897271416985,16039764226956,9301326983351,6738437243605,40857507190029,40857507190029,255848686264,6176838462263,0,1724460442094,56897271416985,305565501799,1385094033692,0,13404936846079,19139500000000,19139500000000,6369057395481,86394987159,1177156860474,305189704052,946232218895,86920000000,70589761306,134703030428,VCI,quarterly
GAS,2016,3,34445727311753,17064067367435,5322866000000,9909530757836,1378244896117,771018290365,23661096622500,17998266550070,0,143851980266,0,1377189924018,58106823934253,15902922643516,9242784916462,6660137727054,42203901290737,42203901290737,255848686264,7543792880545,0,1705357931682,58106823934253,496624163174,1466771161032,518929000,13274821291364,19139500000000,19139500000000,6300289232338,83647651147,902248912101,322629115712,943806483661,86920000000,82832254836,82832254836,VCI,quarterly
GAS,2016,2,36169454276454,17113728766888,5993186000000,11140533609500,1415681621566,506324278500,23356832745435,18796675385904,0,143968911996,0,1365846675509,59526287021889,18233007663814,11440312948339,6792694715475,41293279358075,41293279358075,255848686264,6600132128327,0,1760059952987,59526287021889,662198612376,1494770766193,0,13253158089615,19139500000000,19139500000000,6453417859458,74393195644,1278837372753,340068527373,914589825692,86920000000,33608357531,33608357531,VCI,quarterly
GAS,2016,1,35618291595190,17979212384190,6086320000000,9583777564825,1385408702582,583572943593,24090496163187,14242970625320,0,143528862651,0,1657709315448,59708787758377,16096501378769,9753736530277,6342764848492,43612286379608,43612286379608,255997699987,10442654373366,0,1962097316773,59708787758377,725053166757,1460760505583,0,11527456420487,19139500000000,19139500000000,6011010919385,130993727960,1039665896029,708210975635,902477506439,85000000000,26441273929,26441273929,VCI,quarterly
GAS,2015,4,33833056771342,17762344528529,6083320000000,8213169290372,1220689729702,553533222739,22891328162920,14843715917816,0,85741527822,0,1319181754447,56724384934262,13830393707937,8982040570283,4848353137654,42893991226325,42893991226325,251878967648,10254306115669,0,1829249646101,56724384934262,927290591186,1313631432860,0,11513300927912,18950000000000,18950000000000,4502207174373,72041931676,1589777540020,393906604726,876962211006,85000000000,22637051369,22637051369,VCI,quarterly
GAS,2015,3,32576939320779,19799251696463,6366955656333,4902021408702,1124145524048,384565035233,22301306387805,13753746730243,0,85210544920,416634657436,876297150457,54878245708584,10994953569258,5597450505963,5397503063295,43883292139326,43883292139326,100378966864,11211656147532,0,1863394947328,54878245708584,883685782145,1190528164719,1666685674,11661986576720,18950000000000,18950000000000,4847796603746,152038942238,1086147413465,0,819109122486,85000000000,29721981141,29721981141,VCI,quarterly
GAS,2015,2,31620516697178,20405257333892,4196635656333,5021896386112,1605549827952,391177492889,21217033004343,13741349720726,0,85230557598,0,1292002104575,52837549701521,11290168119652,6750507892324,4539660227328,41547381581869,41547381581869,100392477344,8935990871931,0,1803872975392,52837549701521,533505101641,1671932468623,0,11661074756320,18950000000000,18950000000000,3998151095467,146929893157,1563432776048,433852250553,800938587559,85000000000,26878090967,26878090967,VCI,quarterly
GAS,2015,1,32882300004565,24528362820168,1736635656333,4935412383818,1242709308305,439179835941,20086389655274,18699843363900,0,87806221946,457547888987,816384340274,52968689659839,12595416963632,6775617710565,5819799253067,38547123543354,38547123543354,99284117472,7755511077173,0,0,52968689659839,662756223765,1308202168841,6919155310,11646077847827,18950000000000,18950000000000,5171586127618,169252347549,2065412063511,0,775364467932,85000000000,24807840167,24807840167,VCI,quarterly
GAS,2014,4,33259311663594,24079685217949,1683875000000,5053611512211,1801172279380,640967654054,20503360574708,19009759624792,0,87235631579,482276351329,924088967008,53762672238302,16079059875072,10560575415890,5518484459182,35985639787211,35985639787211,59407831433,5154252657795,0,0,53762672238302,638828097502,1875174933342,97370329962,7628468143990,18950000000000,18950000000000,5135324424862,124181431763,2439523774572,0,863033312521,85000000000,0,0,VCI,quarterly
GAS,2014,3,32563894920965,23250246563039,1050100000000,5791163868524,1703512429852,768872059550,20644424907150,18839796144885,0,444015802872,471207030894,887414256177,53208319828115,16098037376277,10571263207355,5526774168922,35367516682177,35367516682177,31695428185,6622076130801,0,0,53208319828115,56392805199,1756373576773,282213374029,6941396840284,18950000000000,18950000000000,5158683037547,107955672870,2301163508900,0,841715777671,441600283780,1991672322,1991672322,VCI,quarterly
GAS,2014,2,29033427956185,20321030401809,1061630416667,5614180176663,1604494352935,432092608111,20342831319443,18490906034179,0,442927190482,518666966315,890331128467,49376259275628,12428786449276,7814424498997,4614361950279,35329728851095,35329728851095,31669684486,6558549617186,0,0,49376259275628,385304211474,1657355499856,117038925532,6967402952442,18950000000000,18950000000000,4021042142840,98432720636,3050701723409,0,845086857014,441600283780,0,0,VCI,quarterly
GAS,2014,1,30397020616773,21418317255713,1113700000000,5786717351410,1474524649478,603761360172,21090878362587,19083361515583,0,446859616780,553608340157,1007048890067,51487898979360,14384827690609,8721067569973,5663760120636,35494121488408,35492318184125,32941402529,5141411115131,1803304283,0,51487898979360,420088978423,1559012833325,291235936449,8547674504920,18950000000000,18950000000000,4769757285355,81040144339,2503306309054,0,976532100090,441600283780,0,0,VCI,quarterly
GAS,2013,4,28261081266289,18293128183542,761700000000,5961890615963,2470697288520,773665178264,22242465132645,19944853209943,0,505219192283,531262467013,1261130263406,50503546398934,15369123480062,9803610621858,5565512858204,33461924752738,33461924752738,32941402529,3133246277103,0,0,50503546398934,366929131069,2563437728824,491375162124,8525901268078,18950000000000,18950000000000,4697396517868,73689621213,2759512594119,0,1230426986980,501600283780,0,0,VCI,quarterly
GAS,2013,3,25938889124191,18276676708448,58850000000,5703110803067,1307708464308,592543148368,22417828129442,19631571618219,0,699455543945,561390934781,1525410032497,48356717253633,13292154672398,7211851942138,6080302730260,33323030638968,33323030638968,32941402529,8509232979340,0,0,48356717253633,583142751855,1390378932887,337858160130,4236537810552,18950000000000,18950000000000,5585123314361,8010337058,2430575565102,0,1495990214647,697600283780,0,0,VCI,quarterly
GAS,2013,2,25874986329730,17781206438976,21050000000,5957905266039,1640805164723,474019459992,23247299718719,20029617335190,0,848091671707,580713104483,1788877607339,49122286048449,15133788529151,9246510806026,5887277723125,32310863692220,32310863692220,33010841083,7498221099021,0,0,49122286048449,549118070032,1723475633302,260494379003,4235596821406,18950000000000,18950000000000,5175392183222,22750544482,3153980708440,0,1760884137742,847600283780,0,0,VCI,quarterly
GAS,2013,1,23936352004572,15955511012894,59200000000,6585734714083,837352715632,498553561963,24165616871136,20634120494212,0,867894024146,600035274185,2063567078593,48101968875708,14937904351975,8251011461085,6686892890890,31455983103739,31454718234180,32941402529,9334616693813,1264869559,0,48101968875708,539718753220,921621124159,230943474948,1549044498676,18950000000000,18950000000000,5788907885100,169551930992,2868809252132,0,2037972547251,847600283780,0,0,VCI,quarterly
