ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
TCB,2017,4,269392380000000,2344362000000,4317924000000,30117314000000,6758094000000,6775118000000,-17024000000,36292000000,158964456000000,160849037000000,-1884581000000,51542484000000,46018398000000,5715484000000,-191398000000,9683000000,12084000000,-2401000000,1511446000000,569789000000,941657000000,1238030000000,12541963000000,269392380000000,242461635000000,1000000000000,46323825000000,170970833000000,0,0,17639970000000,6527007000000,26930745000000,9777116000000,6156928000000,0,10996701000000,11655307000000,0,0,VCI,quarterly
TCB,2017,3,233501777000000,3137121000000,3604657000000,21637346000000,6326247000000,6334550000000,-8303000000,81560000000,135565473000000,137372631000000,-1807158000000,47263703000000,42223682000000,5206119000000,-166098000000,9983000000,12384000000,-2401000000,1461354000000,501101000000,960253000000,1247049000000,13150524000000,233501777000000,214068590000000,2000000000000,28055215000000,166322843000000,0,0,11495301000000,6195231000000,19433187000000,4834830000000,5219157000000,-411000000,9379611000000,8878079000000,0,0,VCI,quarterly
TCB,2017,2,232342274000000,2872547000000,7044002000000,21188679000000,8226308000000,8233111000000,-6803000000,60048000000,130158731000000,131884341000000,-1725610000000,48199282000000,40698747000000,7636755000000,-136220000000,7355000000,12384000000,-5029000000,1473219000000,510595000000,962624000000,1260497000000,11834846000000,232342274000000,210591156000000,1000000000000,20881956000000,172102778000000,0,0,10320295000000,6286127000000,21751118000000,8878079000000,5219158000000,-19556000000,7673437000000,8878079000000,0,0,VCI,quarterly
TCB,2017,1,232522122000000,3179218000000,4127426000000,21196358000000,5174551000000,5181676000000,-7125000000,36722000000,136175111000000,137746670000000,-1571559000000,49971879000000,44038038000000,7769451000000,-1835610000000,7758000000,12684000000,-4926000000,1528651000000,543507000000,985144000000,1269517000000,9837305000000,232522122000000,211869616000000,431773000000,16917138000000,178623027000000,0,0,10397338000000,5500340000000,20652506000000,8878079000000,5219182000000,6754000000,6548491000000,8878079000000,0,0,VCI,quarterly
TCB,2016,4,235363026000000,2956708000000,2533875000000,21598874000000,8024620000000,8035905000000,-11285000000,0,141120529000000,142616004000000,-1495475000000,45674924000000,38575369000000,8560113000000,-1460558000000,577746000000,582672000000,-4926000000,1582722000000,576836000000,1005886000000,1278536000000,9995999000000,235363026000000,215731145000000,1447970000000,24886126000000,173448929000000,67892000000,587383000000,10414842000000,4878003000000,19631881000000,8878079000000,5222680000000,0,5531122000000,8878079000000,0,0,VCI,quarterly
TCB,2016,3,222769955000000,2930231000000,6018991000000,12184342000000,8018020000000,8028898000000,-10878000000,0,134035933000000,135601842000000,-1565909000000,44950032000000,40001394000000,6439429000000,-1490791000000,578494000000,583420000000,-4926000000,1513275000000,571721000000,941554000000,1283126000000,10954571000000,222769955000000,204027270000000,0,25599184000000,163514669000000,57102000000,552527000000,9841851000000,4461937000000,18742685000000,8878079000000,4744776000000,-4918000000,5124748000000,8878079000000,0,0,VCI,quarterly
TCB,2016,2,212676296000000,2840093000000,3432747000000,18010991000000,4255770000000,4265157000000,-9387000000,0,126309255000000,127737163000000,-1427908000000,44120394000000,38950046000000,6535460000000,-1365112000000,579686000000,584070000000,-4384000000,1562246000000,607525000000,954721000000,1292145000000,9949481000000,212676296000000,194940699000000,0,31098536000000,150033149000000,139517000000,558006000000,8048395000000,5063096000000,17735597000000,8878079000000,4744778000000,10305000000,4102435000000,8878079000000,0,0,VCI,quarterly
TCB,2016,1,199003292000000,2749837000000,4216737000000,17001626000000,3202402000000,3210703000000,-8301000000,0,112735810000000,114024026000000,-1288216000000,45511559000000,40204375000000,6573521000000,-1266337000000,597151000000,601230000000,-4079000000,880075000000,501358000000,378717000000,1301165000000,10436323000000,199003292000000,182046733000000,0,20534007000000,148816851000000,64409000000,445168000000,8103106000000,4083192000000,16956559000000,8878079000000,4744903000000,23274000000,3310303000000,8878079000000,0,0,VCI,quarterly
TCB,2015,4,192009075000000,2754299000000,1602619000000,14762009000000,2591588000000,2600693000000,-9105000000,0,110461365000000,111625772000000,-1164407000000,44301594000000,38528012000000,6902350000000,-1128768000000,597151000000,601230000000,-4079000000,882081000000,538147000000,343934000000,1310184000000,12355256000000,192009075000000,175481015000000,0,20745990000000,142239546000000,85891000000,336421000000,8133896000000,3939271000000,16528060000000,8878079000000,4752967000000,0,2897014000000,8878079000000,0,0,VCI,quarterly
TCB,2015,3,175216913000000,2758479000000,3895865000000,13174513000000,4314243000000,4322223000000,-7980000000,0,92796373000000,93925185000000,-1128812000000,43017624000000,37073377000000,6921830000000,-977583000000,597151000000,601230000000,-4079000000,930903000000,569095000000,361808000000,1319203000000,11988318000000,175216913000000,159056315000000,0,12064769000000,136630527000000,44470000000,132476000000,6394880000000,3789193000000,16160598000000,8878079000000,4549151000000,-6916000000,2740284000000,8878079000000,0,0,VCI,quarterly
TCB,2015,2,172744073000000,2558814000000,1279360000000,19272182000000,1788891000000,1797001000000,-8110000000,0,89876695000000,90899990000000,-1023295000000,43305457000000,37594511000000,6695238000000,-984292000000,633788000000,637630000000,-3842000000,975434000000,612269000000,363165000000,1370440000000,11646668000000,172744073000000,156989037000000,0,17916097000000,129016057000000,163723000000,60585000000,6476563000000,3356012000000,15755036000000,8878079000000,4549564000000,-9746000000,2337139000000,8878079000000,0,0,VCI,quarterly
TCB,2015,1,179100004000000,2495142000000,4652153000000,17542923000000,1127416000000,1129356000000,-1940000000,0,87612696000000,88720498000000,-1107802000000,49442390000000,44328407000000,6101127000000,-987144000000,639288000000,643130000000,-3842000000,1011254000000,645359000000,365895000000,1379914000000,13196828000000,179100004000000,163805684000000,202648000000,26811716000000,126886451000000,58638000000,62431000000,6441581000000,3342219000000,15294320000000,8878079000000,4549586000000,8260000000,1858395000000,8878079000000,0,0,VCI,quarterly
TCB,2014,4,175915454000000,2723642000000,1168265000000,18922460000000,2086246000000,2089318000000,-3072000000,0,79347790000000,80307567000000,-959777000000,54978730000000,49704301000000,6197583000000,-923154000000,693788000000,697630000000,-3842000000,1036505000000,657032000000,379473000000,1389389000000,13568639000000,175915454000000,160915744000000,0,19471408000000,131438399000000,18409000000,67266000000,6253623000000,3666639000000,14999710000000,8878079000000,4551561000000,0,1570070000000,8878079000000,0,0,VCI,quarterly
TCB,2014,3,170768267000000,2277040000000,2734995000000,17878838000000,1353834000000,1357741000000,-3907000000,0,70532930000000,71489015000000,-956085000000,58443854000000,54361154000000,4799778000000,-717078000000,123383000000,128625000000,-5242000000,995987000000,643419000000,352568000000,1397655000000,15029751000000,170768267000000,155946006000000,0,24864221000000,121733162000000,32892000000,58598000000,5571164000000,3685969000000,14822261000000,8878079000000,4371277000000,1364000000,1571541000000,8878079000000,0,0,VCI,quarterly
TCB,2014,2,171081078000000,2468550000000,2066522000000,16532740000000,2443425000000,2448715000000,-5290000000,0,72900054000000,74021865000000,-1121811000000,56608057000000,52927175000000,4203411000000,-522529000000,123383000000,128625000000,-5242000000,1022174000000,669673000000,352501000000,1407121000000,15509052000000,171081078000000,156420257000000,0,21506875000000,124742612000000,60050000000,69939000000,4618833000000,5421948000000,14660821000000,13250352000000,0,823000000,1409646000000,8878079000000,0,0,VCI,quarterly
TCB,2014,1,164134583000000,2123003000000,699482000000,13972496000000,1337300000000,1338687000000,-1387000000,0,70582712000000,71857595000000,-1274883000000,56410388000000,52853644000000,3662576000000,-105832000000,124960000000,128625000000,-3665000000,980697000000,619702000000,360995000000,1417782000000,16485763000000,164134583000000,149685836000000,0,16197678000000,124013777000000,65805000000,64022000000,4658648000000,4685906000000,14448747000000,8878079000000,4372389000000,3866000000,1194413000000,8878079000000,0,0,VCI,quarterly
TCB,2013,4,158896663000000,2291494000000,2830794000000,15420747000000,919608000000,921035000000,-1427000000,0,69088680000000,70274919000000,-1186239000000,49845591000000,46169754000000,3693837000000,-18000000000,128625000000,128625000000,0,1032737000000,656656000000,376081000000,1421469000000,15916918000000,158896663000000,144976594000000,0,15224974000000,119977924000000,73157000000,64137000000,5643295000000,3993107000000,13920069000000,8878079000000,4369596000000,0,672394000000,8878079000000,0,0,VCI,quarterly
TCB,2013,3,165878786000000,2421326000000,3770460000000,27103991000000,996770000000,1012514000000,-15744000000,0,68405752000000,69952157000000,-1546405000000,42953746000000,42314102000000,810481000000,-170837000000,129225000000,129225000000,0,1069276000000,728086000000,341190000000,1309420000000,17718820000000,165878786000000,152030952000000,0,24686177000000,117236302000000,4266000000,80669000000,4536253000000,5487285000000,13847834000000,8848079000000,4278769000000,2966000000,718020000000,8848079000000,0,0,VCI,quarterly
TCB,2013,2,171394441000000,2999020000000,5446726000000,25680753000000,1460960000000,1473850000000,-12890000000,114352000000,68592952000000,69864613000000,-1271661000000,43896829000000,42462890000000,1732594000000,-298655000000,92825000000,92825000000,0,1033275000000,705858000000,327417000000,1312754000000,20763995000000,171394441000000,157611240000000,0,33990447000000,111591140000000,0,95934000000,6669731000000,5263988000000,13783201000000,8848079000000,4278955000000,29117000000,627050000000,8848079000000,0,0,VCI,quarterly
TCB,2013,1,175862903230000,3668755530000,3753377160000,25109332280000,1453801810000,1469459080000,-15657270000,107209770000,66988526590000,68436217500000,-1447690910000,47466822170000,45614811170000,2145743790000,-293732790000,92824600000,92824600000,0,1125344160000,792666020000,332678140000,1321073430000,24775835730000,175862903230000,162187967430000,0,34203436720000,114096317530000,0,110592080000,7646398510000,6131222590000,13674935800000,8848078710000,3475744710000,-3938450000,1355050830000,8848078710000,0,0,VCI,quarterly
