ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,data_source,period_type
LPB,2017,2,142179600000000,944503000000,5751266000000,1473298000000,0,0,0,0,91361641000000,92532085000000,-1170444000000,34525853000000,33374942000000,1826042000000,-675131000000,324731000000,324731000000,1274845000000,821459000000,453386000000,6523463000000,142179600000000,133457888000000,1328021000000,14688627000000,108118494000000,26687000000,1121550000000,5823053000000,2351456000000,8721712000000,6523331000000,867572000000,0,1330809000000,6460000000000,0,VCI,yearly
LPB,2017,1,138023159000000,819077000000,2214594000000,3563642000000,0,0,0,64309000000,87777125000000,88869153000000,-1092028000000,35028509000000,34341016000000,1553047000000,-865554000000,324731000000,324731000000,1222721000000,798162000000,424559000000,7008451000000,138023159000000,129657264000000,1094275000000,8976490000000,111494370000000,0,1113800000000,4582133000000,2396196000000,8365895000000,6523331000000,867572000000,0,974992000000,6460000000000,0,VCI,yearly
LPB,2016,4,141865255000000,639592000000,12219567000000,9277203000000,0,0,0,19369000000,78705746000000,79676162000000,-970416000000,33246425000000,32496712000000,1553047000000,-803334000000,324731000000,324731000000,1255165000000,828944000000,426221000000,6177457000000,141865255000000,133533370000000,310737000000,14796745000000,110984894000000,0,1107950000000,4100000000000,2233044000000,8331885000000,6523331000000,867572000000,0,940982000000,6460000000000,63331000000,VCI,yearly
LPB,2016,3,133080141000000,1130781000000,11493509000000,2484879000000,0,0,0,970000000,71880192000000,72657463000000,-777271000000,36807319000000,35085379000000,2612104000000,-890164000000,324731000000,324731000000,1172511000000,750333000000,422178000000,7785249000000,133080141000000,125111632000000,295522000000,14637360000000,104052900000000,0,1097450000000,3000000000000,2028400000000,7968509000000,6523331000000,713468000000,0,731710000000,6460000000000,0,VCI,yearly
LPB,2016,2,127788670000000,651151000000,4624541000000,9614864000000,0,0,0,28272000000,64245202000000,64972275000000,-727073000000,36384480000000,34395119000000,2649170000000,-659809000000,324731000000,324731000000,1180408000000,756976000000,423432000000,10735021000000,127788670000000,120150432000000,260208000000,4124608000000,110806441000000,0,1093650000000,2000000000000,1865525000000,7638238000000,6523331000000,713468000000,0,401439000000,6460000000000,0,VCI,yearly
LPB,2016,1,113023259000000,854727000000,971544000000,5398337000000,0,0,0,55351000000,57949842000000,58644570000000,-694728000000,35112366000000,32879913000000,2680135000000,-447682000000,324731000000,324731000000,1142386000000,741041000000,401345000000,11213975000000,113023259000000,105540829000000,630872000000,8360056000000,91571181000000,0,1092850000000,2000000000000,1885870000000,7482430000000,6523331000000,713468000000,0,245631000000,6460000000000,0,VCI,yearly
LPB,2015,4,107587384000000,480567000000,1885088000000,5423331000000,0,0,0,34196000000,55470066000000,56164794000000,-694728000000,32159896000000,29827163000000,2680135000000,-347402000000,324731000000,324731000000,1172472000000,767451000000,405021000000,10637037000000,107587384000000,99986864000000,6344833000000,11199634000000,77628984000000,0,1094500000000,2000000000000,1718913000000,7600520000000,6523331000000,713468000000,0,363721000000,6460000000000,0,VCI,yearly
LPB,2015,3,106628799000000,489757000000,2641589000000,2878030000000,0,0,0,8207000000,54003368000000,54609751000000,-606383000000,32385264000000,29867488000000,2854058000000,-336282000000,324731000000,324731000000,1147003000000,757544000000,389459000000,12750850000000,106628799000000,99072416000000,35955000000,10696034000000,85355122000000,0,1094500000000,0,1890805000000,7556383000000,6523331000000,662740000000,0,370312000000,6460000000000,0,VCI,yearly
LPB,2015,2,101913197000000,447432000000,796751000000,3933240000000,1000000,1000000,0,7527000000,50783535000000,51399641000000,-616106000000,32655544000000,31350469000000,1563705000000,-258630000000,324731000000,324731000000,1162690000000,770964000000,391726000000,11801746000000,101913197000000,94516148000000,25061000000,8520860000000,83319204000000,0,1083650000000,0,1567373000000,7397049000000,6523331000000,662740000000,0,210978000000,6460000000000,0,VCI,yearly
LPB,2015,1,103188485952197,503300617545,1453616057610,3534864611624,1118081,1310269,-192188,0,47467614085949,47961724084962,-494109999013,36951611067263,35555847319295,1583185238072,-187421490104,324730750000,324730750000,1097971527096,741214284815,356757242281,11854776117029,103188485952197,95828236269129,229733589035,11815640930549,81302503401421,1785974458,1072900000000,0,1405672373666,7360249683068,6523330889872,662740058250,0,174178734946,6460000000000,0,VCI,yearly
LPB,2014,4,100801752000000,325286000000,1617624000000,9686853000000,1000000,1000000,0,0,40815654000000,41289105000000,-473451000000,36252486000000,34782578000000,1590510000000,-120602000000,324731000000,324731000000,1081018000000,737510000000,343508000000,10698099000000,100801752000000,93410655000000,25935000000,12851116000000,77819859000000,45096000000,1062300000000,0,1606349000000,7391097000000,6523331000000,662740000000,0,205026000000,6460000000000,0,VCI,yearly
LPB,2014,3,89191091647099,350205229714,1755789252827,9836351867281,1118081,1310269,-192188,0,36384909123251,36795923942501,-411014819250,27067966158867,25888013122225,1228179157643,-48226121001,324730750000,324730750000,1004368668343,665784084219,338584584124,12466769478735,89191091647099,81973592377011,17474075000,4370137828983,74208543587827,37135217005,1636874460646,0,1703427207550,7217499270088,6523330889872,595103050932,0,99065329284,6460000000000,0,VCI,yearly
LPB,2014,2,82807370000000,345888000000,1106155000000,6954647000000,1000000,1000000,0,0,31125435000000,31638921000000,-513486000000,27852473000000,27490072000000,408752000000,-46351000000,24731000000,24731000000,945702000000,605763000000,339939000000,14452338000000,82807370000000,75359807000000,19941000000,5545021000000,66733261000000,34462000000,1654912000000,0,1372210000000,7447563000000,6523331000000,595103000000,0,329129000000,6460000000000,0,VCI,yearly
LPB,2013,4,79594233102918,206590367090,6560355765636,11812527370525,1118081,1310269,-192188,1014673956,28954141730370,29548005075365,-593863344995,22107865297003,21799027667270,357986380996,-49148751263,24730750000,24730750000,809897823416,479197102532,330700720884,9117108206841,79594233102918,72322959171450,19184820000,15539141504649,55553137354979,0,27394402852,0,1184101088970,7271273931468,6523330889872,595103050932,0,152839990664,6460000000000,0,VCI,yearly
LPB,2013,2,78205785220418,214235794421,923479396221,11787628858317,202550537257,202550729445,-192188,3698303654,32390848901007,32856461960393,-465613059386,21086937106531,21122988933178,0,-36051826647,24730750000,24730750000,764247421087,429579497404,334667923683,10807428151923,78205785220418,71048837977355,10120850000,14229347972151,55597716158048,0,17891045301,300000000,1193461951855,7156947243063,6523330889872,512993509707,-2162312137,122785155621,6460000000000,0,VCI,yearly
