ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
LPB,2017,2,2855647000000,0.3754736602285322,355818000000,1.2836953173136167,2855647000000,-1574347000000,1281300000000,40712000000,-33137000000,7575000000,-54645000000,-125000000,291501000000,8970000000,-258419000000,-249449000000,0,1276157000000,-702316000000,573841000000,-133023000000,440818000000,-85000000000,-85000000000,355818000000,355818000000,460,VCI,quarterly
LPB,2017,1,2676692000000,0.38504773194974756,350722000000,0.6440273565492123,2676692000000,-1416807000000,1259885000000,30218000000,-20686000000,9532000000,71753000000,-80000000,12196000000,4125000000,-149375000000,-145250000000,0,1208036000000,-505852000000,702184000000,-232672000000,469512000000,-118790000000,-118790000000,350722000000,350722000000,543,VCI,quarterly
LPB,2016,4,2569104000000,0.371785192154283,363375000000,7.232888506241928,2569104000000,-1526728000000,1042376000000,66883000000,221625000000,288508000000,58915000000,-81000000,7497000000,1270000000,-8349000000,-7079000000,0,1390136000000,-795101000000,595035000000,-112449000000,482586000000,-119211000000,-119211000000,363375000000,363375000000,1582,VCI,quarterly
LPB,2016,3,2330065000000,0.33838862504796235,330272000000,1.7183104387690433,2330065000000,-1131822000000,1198243000000,31315000000,-114380000000,-83065000000,39368000000,-82000000,-113741000000,521000000,-50551000000,-50030000000,0,990693000000,-439184000000,551509000000,-153237000000,398272000000,-68000000000,-68000000000,330272000000,330272000000,571,VCI,quarterly
LPB,2016,2,2076119000000,0.18277497514662777,155808000000,3.2341431599543453,2076119000000,-1114464000000,961655000000,43931000000,-98768000000,-54837000000,-8301000000,-80000000,-117012000000,1621000000,-26515000000,-24894000000,0,756531000000,-427336000000,329195000000,-126334000000,202861000000,-47053000000,-47053000000,155808000000,155808000000,0,VCI,quarterly
LPB,2016,1,1932563000000,0.2131769636347543,213331000000,0.9468237527263436,1932563000000,-1111067000000,821496000000,22048000000,-96589000000,-74541000000,47829000000,-81000000,816000000,1953000000,-63187000000,-61234000000,0,734285000000,-369867000000,364418000000,-100279000000,264139000000,-50808000000,-50808000000,213331000000,213331000000,0,VCI,quarterly
LPB,2015,4,1872818000000,0.10479982774538171,44137000000,-0.7457516791668107,1872818000000,-1314943000000,557875000000,33289000000,185821000000,219110000000,-46194000000,-70000000,3120000000,12103000000,-84153000000,-72050000000,0,661791000000,-486129000000,175662000000,-98525000000,77137000000,-33000000000,-33000000000,44137000000,44137000000,0,VCI,quarterly
LPB,2015,3,1740948000000,0.244255954167703,121499000000,4.930988740779086,1740948000000,-1033049000000,707899000000,18580000000,-87715000000,-69135000000,39539000000,-58000000,-360000000,503000000,-32477000000,-31974000000,0,645911000000,-386075000000,259836000000,-112337000000,147499000000,-26000000000,-26000000000,121499000000,121499000000,0,VCI,quarterly
LPB,2015,2,1755295000000,0.06480592356406174,36798000000,-0.7809710606535541,1755295000000,-1007807000000,747488000000,15099000000,-96740000000,-81641000000,780000000,-59000000,-419000000,584000000,-50801000000,-50217000000,0,615932000000,-375975000000,239957000000,-194159000000,45798000000,-9000000000,-9000000000,36798000000,36798000000,0,VCI,quarterly
LPB,2015,1,1592977000000,0.0,109579000000,0.0,1592977000000,-993058000000,599919000000,11575000000,-73864000000,-62289000000,-4594000000,-57000000,8618000000,3912000000,-13281000000,-9369000000,0,532228000000,-320229000000,211999000000,-98332000000,113667000000,-4088000000,-4088000000,109579000000,109579000000,0,VCI,quarterly
LPB,2014,4,1695165000000,-0.026115139543931975,173598000000,0.2566136919456865,1695165000000,-1001150000000,694015000000,12610000000,-92639000000,-80029000000,5768000000,-60000000,236303000000,7431000000,-36491000000,-29060000000,0,826937000000,-423008000000,403929000000,-200331000000,203598000000,-30000000000,-30000000000,173598000000,173598000000,0,VCI,quarterly
LPB,2014,3,1399188000000,0.0,-30908000000,0.0,1399188000000,-962160000000,437028000000,9461000000,-87621000000,-78160000000,-7794000000,-59000000,-36927000000,6521000000,-54586000000,-48065000000,0,266023000000,-338045000000,-72022000000,51969000000,-20053000000,-10855000000,-10855000000,-30908000000,-30908000000,0,VCI,quarterly
LPB,2014,2,1648464721275,0.12005335185737709,168005196527,3.056204487904574,1648464721275,-958469847903,689994873372,1394277822,-84547966904,-83153689082,-4560563033,58051994,-683059322,670924711,-48414852320,-47743927609,0,553911686320,-306719761612,247191924708,-64287000000,182904924708,-14899728181,-14899728181,168005196527,168005196527,0,VCI,quarterly
LPB,2013,4,1740621575333,0.0,138147468162,0.0,1740621575333,-917955026952,822666548381,14015533366,-65679870058,-51664336692,2959732020,-77267897,-23855478990,55938827662,24044746241,79983573903,-35620,830012735105,-436393354058,393619381047,-157343871461,236275509586,-98128041424,-98128041424,138147468162,138147468162,0,VCI,quarterly
LPB,2013,2,1471773392349,0.0,41419311336,0.0,1471773392349,-1012012714484,459760677865,11826866028,-57403619860,-45576753832,5718280923,-36051859740,12505543208,45522714129,-10600142764,34922571365,0,431278459789,-265407203485,165871256304,-110363353229,55507903075,-14088591739,-14088591739,41419311336,41419311336,0,VCI,quarterly
