ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
SHB,2017,4,277993868000000,1446548000000,3733241000000,33527813000000,1050000000,3889000000,-2839000000,136265000000,193420642000000,196131048000000,-2710406000000,20705212000000,12268348000000,10682862000000,-2245998000000,215466000000,0,227251000000,-11785000000,3952317000000,425424000000,0,3526893000000,16955000000,20838359000000,277993868000000,263126157000000,2758343000000,43216708000000,196054293000000,0,1497810000000,14967269000000,4631734000000,14867711000000,11293347000000,1010091000000,0,0,2564273000000,0,11196891000000,0,0,VCI,yearly
SHB,2017,3,264300246000000,1265841000000,3525720000000,25211127000000,502977000000,506858000000,-3881000000,64904000000,189530782000000,191726926000000,-2196144000000,21328582000000,13030802000000,10182951000000,-1885171000000,229013000000,0,242251000000,-13238000000,3899916000000,369752000000,0,3530164000000,16955000000,18724429000000,264300246000000,250921269000000,2783261000000,31525557000000,193177891000000,0,2423318000000,16461155000000,4550087000000,13378977000000,10293347000000,1039883000000,1705000000,0,2041935000000,0,10196891000000,0,2107000000,VCI,yearly
SHB,2017,2,249738755000000,1276726000000,2174570000000,23682875000000,2399412000000,2403346000000,-3934000000,0,177903580000000,179726873000000,-1823293000000,21550989000000,13085605000000,10024952000000,-1559568000000,225462000000,242250000000,0,-16788000000,3911924000000,388719000000,0,3523205000000,16745000000,16596472000000,249738755000000,235878716000000,998789000000,33641859000000,179322299000000,481000000,794702000000,17050528000000,4070058000000,13857655000000,11293347000000,1039668000000,18677000000,0,1505963000000,2384000000,11196891000000,0,0,VCI,yearly
SHB,2017,1,247910479000000,1362571000000,1877469000000,31271036000000,44622000000,59959000000,-15337000000,0,170155537000000,172089883000000,-1934346000000,21994972000000,13661515000000,9769978000000,-1436521000000,235807000000,0,242252000000,-6445000000,3940293000000,409484000000,0,3530809000000,16955000000,17011217000000,247910479000000,234451112000000,2148848000000,35861057000000,176008330000000,41308000000,2896364000000,13512234000000,3982971000000,13457119000000,11293347000000,1038266000000,-4005000000,0,1129511000000,2248000000,11196891000000,0,0,VCI,yearly
SHB,2016,4,234785824000000,1291694000000,2718756000000,30930113000000,40900000000,65383000000,-24483000000,0,160584473000000,162370188000000,-1785715000000,18808400000000,10788497000000,9439853000000,-1419950000000,222949000000,0,229394000000,-6445000000,3962052000000,424046000000,0,3538006000000,16955000000,16209532000000,234785824000000,221502880000000,2572420000000,32134175000000,166809425000000,33947000000,2541354000000,13767675000000,3643884000000,13280610000000,11293347000000,913299000000,0,0,1073964000000,2334000000,11196891000000,0,0,VCI,yearly
SHB,2016,3,215007857000000,1413026000000,1513024000000,24411462000000,50366000000,65436000000,-15070000000,0,145627057000000,147340395000000,-1713338000000,20203211000000,11522827000000,9421937000000,-741553000000,225953000000,0,233594000000,-7641000000,3854849000000,328075000000,0,3526774000000,16955000000,17691954000000,215007857000000,203043710000000,970665000000,21991856000000,163082658000000,62264000000,779783000000,12504991000000,3651493000000,11961758000000,9582401000000,864079000000,0,7063000000,1508215000000,2389000000,9485945000000,0,0,VCI,yearly
SHB,2016,2,211886967000000,1145033000000,3455674000000,26522021000000,52225000000,67069000000,-14844000000,0,139403585000000,140946927000000,-1543342000000,19352144000000,10624291000000,9475057000000,-747204000000,289609000000,0,298843000000,-9234000000,4015259000000,339858000000,0,3675401000000,16879000000,17634538000000,211886967000000,200238827000000,805193000000,27701307000000,159267603000000,103271000000,754403000000,8480991000000,3126059000000,11648140000000,9582401000000,864083000000,0,0,1199261000000,0,9485945000000,0,2395000000,VCI,yearly
SHB,2016,1,203630991000000,1025106000000,2261922000000,25291400000000,52866000000,67961000000,-15095000000,0,136057728000000,137646974000000,-1589246000000,18250069000000,8996049000000,9816868000000,-562848000000,288855000000,0,298843000000,-9988000000,4032249000000,343480000000,0,3688769000000,16955000000,16353841000000,203630991000000,192079594000000,517585000000,24462489000000,154816894000000,36740000000,410616000000,8439899000000,3395371000000,11548939000000,9582401000000,864064000000,-782000000,0,1103256000000,2458000000,9485945000000,0,0,VCI,yearly
SHB,2015,4,204764526000000,1917860000000,4328011000000,29826302000000,18695000000,35244000000,-16549000000,0,130005807000000,131427193000000,-1421386000000,15303484000000,5416753000000,10399493000000,-512762000000,303409000000,0,313397000000,-9988000000,4055221000000,359973000000,0,3695248000000,0,19005737000000,204764526000000,193506931000000,4224915000000,28144411000000,148812924000000,100011000000,414632000000,8259448000000,3550590000000,11254879000000,9582401000000,754463000000,0,0,918015000000,2716000000,9485945000000,0,0,VCI,yearly
SHB,2015,3,183308815000000,1119252000000,1818309000000,23046426000000,18355000000,35224000000,-16869000000,0,121306170000000,122566945000000,-1260775000000,14295909000000,5059581000000,9646298000000,-409970000000,308071000000,0,324302000000,-16231000000,4031406000000,328346000000,0,3703060000000,16981000000,17347936000000,183308815000000,172231468000000,16133000000,18762221000000,144220906000000,14052000000,370190000000,5567800000000,3280166000000,11074579000000,9582401000000,754463000000,-8781000000,0,746496000000,2768000000,9485945000000,0,0,VCI,yearly
