ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
SAB,2017,4,13746940669379,4268678310960,6558801231269,677002428048,2100175381040,142283318062,8332403162509,4000000000,5010375356253,59916600627,2193008896120,933752813689,22079343831888,7317131587250,7178234449011,138897138239,14762212244638,14762174844638,0,6134774325149,37400000,1067385177846,22079343831888,109617223231,2142975830117,0,1118963482640,6412811860000,6412811860000,4580629834,89595796489,720264981780,0,819116482360,736960914597,48401021411,24721148533,VCI,quarterly
SAB,2017,3,13208724661352,4554779294818,5238047914747,834941892300,2325039678933,255915880554,8032807668055,4000000000,5103683631736,64554780515,1975779273768,768020789098,21241532329407,5342290497172,5209060016516,133230480656,15899241832235,15899204432235,3208666226,7265667693026,37400000,1073227021309,21241532329407,178050449340,2359770401218,0,1118956843769,6412811860000,6412811860000,8477861275,274487030299,840230301736,0,656567803939,739727528924,48003068963,18423196085,VCI,quarterly
SAB,2017,2,11948192558650,5060479589348,3409614854909,949878612005,2062414643400,465804858988,8150511465206,4000000000,5217743818630,65140405394,1909998670126,844483615214,20098704023856,5226245019726,5081533805802,144711213924,14872459004130,14872421604130,3208666226,6248405757322,37400000,1064965705970,20098704023856,199879316231,2098769190101,0,1118956843769,6412811860000,6412811860000,19853741805,176882891170,944250851140,0,737028818589,739727528924,48161821863,18581948985,VCI,quarterly
SAB,2017,1,10421899897131,4080555612429,2565521174216,885463917520,2205438526626,684920666340,8331948780573,4000000000,5329394727185,65726030273,1932412387774,867384755182,18753848677704,5153772728349,5010257893644,143514834705,13600075949355,13600038549355,3208666226,4979656741636,37400000,1084094898644,18753848677704,206776819618,2251043677238,0,1120415018024,6412811860000,6412811860000,21024090938,352198003063,920772992014,0,756448316086,746447528924,44815750319,36558511739,VCI,quarterly
SAB,2016,4,10768938816041,3554805678605,3064406940162,1213748427765,2116162004584,819815764925,8491156731056,4000000000,5460047934464,66481409593,1968197735259,865509853322,19260095547097,6895091325687,6607238153445,287853172242,12365004221410,12364966821410,3208666226,3784498622085,37400000,1046721468160,19260095547097,195630019419,2174326442403,0,1118357301754,6412811860000,6412811860000,159509182062,504449074942,1051042291006,0,720751634040,738824745367,49561033849,54146716451,VCI,quarterly
SAB,2016,3,13893792479855,6813756227629,3292766940162,1530092025888,2120507421024,136669865152,8809591462485,4000000000,5479510990317,67071747710,1818512465043,1309835231246,22703383942340,8300465803532,7733455083389,567010720143,14402918138808,14402880738808,3208666226,5873050687232,37400000,1007402455641,22703383942340,208136323189,2164078447496,0,1111937641343,6412811860000,6412811860000,443760635526,348901269542,964222424590,0,543513112448,747464745367,43036551784,35036551784,VCI,quarterly
SAB,2016,2,13790724368179,9392266917898,1403766940162,1123819693751,1749329796893,121541019475,8997173672231,4000000000,5600773236130,67702601126,2155592298512,1041180663596,22787898040410,8438616329015,7885128185134,553488143881,14349281711395,14349244311395,3208666226,5853440345328,37400000,973951631341,22787898040410,154435687623,1792900823365,0,1111799334554,6412811860000,6412811860000,407546733351,289971541386,926299249692,0,541089466418,747464745367,49137327402,41137327402,VCI,quarterly
SAB,2016,1,12440234361543,8847741140901,953666940162,1016604477280,1471843980071,150377823129,9473814946486,4000000000,5708423800429,44811450799,2144524490276,1109092797470,21914049308029,7002521258300,5980778999049,1021742259251,14911528049729,14911490649729,3208666227,6440404874682,37400000,994879070371,21914049308029,159050017918,1515415006542,2048608239,1100207507799,6412811860000,6412811860000,557468376310,120181624047,1219982837098,0,607028600287,759464745367,374198650709,366198650709,VCI,quarterly
SAB,2015,4,12194294244759,7935974303078,942766940162,1085026567826,1924903591065,305622842628,9377631443590,4000000000,5854864117634,45648186191,2220151475157,1141597073679,21571925688349,7507221969018,6759695103391,747526865627,14064703719331,14064666319331,3208666226,5558226879589,37400000,995617570458,21571925688349,71471592573,1960525998246,56900000,1100003125251,6412811860000,6412811860000,610451263039,381635895798,1051664640371,0,626304930215,759464745367,42494839492,34494839492,VCI,quarterly
SAB,2015,3,11197461185893,7677928816985,398344863149,1137488780348,1854138441224,129560284187,9684107753965,4000000000,5906652444033,32659874146,2419980411534,1146812863036,20881568939858,6688774670303,5712460513382,976314156921,14192794269555,14192756869555,3208666227,5972413352117,37400000,738115619841,20881568939858,148685606251,1894235555019,4520341254,1078418306158,6412811860000,6412811860000,715104240536,302348884355,394045760083,0,757352173160,855798664410,22377265659,26377265659,VCI,quarterly
SAB,2015,2,11712886322938,8245182048909,579344863149,1015896328960,1781568257027,90894824893,9862872472983,4000000000,6010100011790,29693667520,2428954260846,1182236093824,21575758795921,8416482799353,7419168617136,997314182217,13159275996568,13159238596568,3208666226,4944618287916,37400000,734592194665,21575758795921,102127230487,1821665370822,0,1077833139008,6412811860000,6412811860000,734912962459,264453439407,402468040789,0,856287320384,835578537076,43143764351,43143764351,VCI,quarterly
SAB,2015,1,10532808075759,6945623403238,515742569669,1053705759261,1873268156386,144468187205,10990660134022,6000000000,7213154760832,30231624352,2271486661668,1313594638190,21523468209781,7587895132228,6500988089280,1086907042948,13935573077553,13935535677553,3208666227,5681025317154,37400000,786199961348,21523468209781,156631043077,1913365270181,46276046106,1071725310195,6412811860000,6412811860000,885738007252,161951062694,447234348098,0,1050975878251,822900809151,8000000000,14000000000,VCI,quarterly
SAB,2014,4,10547147009535,1817058789399,5719664646682,1031470742969,1868971990048,109980840437,11126890056350,0,7435275814549,30769581184,2297406522275,1355438138342,21674037065885,8690567763683,7559892583790,1130675179893,12203919808275,12203882408275,3208666226,4741509148405,37400000,0,21674037065885,133998015442,1909069103843,35134009775,358189887095,6412811860000,6412811860000,912244060011,77000229480,437368288526,0,1109120199210,1111347612043,8000000000,8000000000,VCI,quarterly
SAB,2014,3,8796023757694,1454519610110,4736079285571,853293602694,1567355670251,184775589068,10756011028088,0,6915089720480,31307538016,2509880323915,1249733445677,19552034785782,6335933668635,4910228068570,1425705600065,12343761004235,12343723604235,1516371220,5015737554154,37400000,0,19552034785782,193419372387,1598886760589,48504409667,338857465764,6412811860000,6412811860000,1075391469927,130583499376,403541658472,0,1153504084006,1135598052043,50000000000,50000000000,VCI,quarterly
SAB,2014,2,8799798821132,1441121103843,4714079285571,866157848973,1627845360144,150595222601,10665687430295,0,6822270632050,31845494848,2527126012546,1284431690851,19465486251427,6713369650799,5396034215126,1317335435673,11916841375599,11916803975599,1516371220,4590069986597,37400000,0,19465486251427,206921291774,1659376450482,35687462189,337936750373,6412811860000,6412811860000,964130941943,164480993902,393457592898,0,1186660007370,1138316712390,13600000,13600000,VCI,quarterly
SAB,2014,1,7650818124155,1551047991910,3451464646682,715857154668,1801408784546,131039546349,10626120185184,0,6772629490455,32383451680,2437151837306,1377743089144,18276938309339,6308518630771,4730636877665,1577881753106,11134661161075,11134623761075,1516371220,3823254038556,37400000,0,18276938309339,226637241541,1847441165746,33487911022,327563697318,6412811860000,6412811860000,1215607808305,160590802245,319909792872,0,1282786249194,1144316712390,6212316599,6212316599,VCI,quarterly
SAB,2013,4,8778243457627,1848755314236,4054766940162,1042477004254,1686785280973,145458918002,10620330973866,0,7110958426686,32921408512,2163419646908,1312997191760,19398574431493,8615738981216,7172399511230,1443339469986,10037196295908,10037158895908,1516371220,2728262347980,37400000,0,19398574431493,161060834584,1732920239675,26231099291,323987119761,6412811860000,6412811860000,1203542601362,40058939035,466463124775,0,1162955868105,1143904162390,34300000,34300000,VCI,quarterly
SAB,2013,3,8023782673500,1570077196645,4095094646682,857818953209,1352980741284,147811135680,10269077186723,0,6554993670013,33459365346,2439595967491,1240983883873,18292859860223,6230347473941,4582179471409,1648168002532,11213882921277,11213845521277,0,3993170135836,37400000,0,18292859860223,343307254659,1382258271612,31236516729,330371596645,6412811860000,6412811860000,1355689149813,154564090018,264612755395,0,1164760682636,1140540979404,44300000,44300000,VCI,quarterly
